"filename", "language", "Lua", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\achievements.lua", "Lua", 163, 0, 5, 45, 213
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\alt_entries.lua", "Lua", 434, 0, 11, 3, 448
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\armor_blacklist.lua", "Lua", 84, 0, 1, 4, 89
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\bosslist.lua", "Lua", 225, 0, 0, 15, 240
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\cards_pills.lua", "Lua", 218, 0, 1, 34, 253
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\d10.lua", "Lua", 53, 0, 68, 10, 131
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\itemlist.lua", "Lua", 97, 0, 0, 3, 100
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\itempools.lua", "Lua", 63, 0, 0, 12, 75
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\abrahams_map.lua", "Lua", 95, 0, 0, 14, 109
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\adra_blessing.lua", "Lua", 192, 0, 7, 43, 242
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\adra_fury.lua", "Lua", 224, 0, 5, 50, 279
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\angel_food.lua", "Lua", 32, 0, 0, 6, 38
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\apple_juice.lua", "Lua", 55, 0, 2, 8, 65
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\items\arcade_ticket.lua", "Lua", 39, 0, 2, 6, 47
